datetime,retraining_flag,model_name,MLPPredictor,LSTMSoftplusPredictor,TransformerPredictor,SigmaLSTMPredictor
2018-07-12 09:00:00,False,,1.5668198,5.662281e-05,5.6861216e-05,0.02985902
2018-07-12 10:00:00,False,,1.5672324,5.6980418e-05,5.662281e-05,0.0010417362
2018-07-12 11:00:00,False,,1.6572723,5.6980418e-05,5.6980418e-05,0.024077523
2018-07-12 12:00:00,False,,1.5302516,5.6980418e-05,5.662281e-05,0.00089935603
2018-07-12 13:00:00,False,,1.6149948,5.662281e-05,5.6503606e-05,0.00032598592
2018-07-12 14:00:00,False,,1.6342827,5.674201e-05,5.6861216e-05,0.0007839764
2018-07-12 15:00:00,False,,1.6156628,5.6861216e-05,5.662281e-05,0.004801137
2018-07-12 16:00:00,False,,1.5891979,5.6980418e-05,5.674201e-05,1.0025156e-05
2018-07-12 17:00:00,False,,1.5675508,5.674201e-05,5.6384404e-05,0.014783843
2018-07-12 18:00:00,False,,1.526232,5.6861216e-05,5.6265202e-05,0.008330876
2018-07-12 19:00:00,False,,1.5761472,5.6861216e-05,5.6503606e-05,0.0023166062
2018-07-12 20:00:00,False,,1.5973709,5.6861216e-05,5.6384404e-05,0.03865952
2018-07-12 21:00:00,False,,1.5388523,5.6861216e-05,5.6265202e-05,0.040778615
2018-07-12 22:00:00,False,,1.4435503,5.6861216e-05,5.6146e-05,0.00043797883
2018-07-12 23:00:00,False,,1.485174,5.709962e-05,5.6026798e-05,0.0050603515
2018-07-13 00:00:00,False,,1.6609423,5.578839e-05,5.6384404e-05,0.02339214
2018-07-13 01:00:00,False,,1.5675315,5.6861216e-05,5.674201e-05,2.164076e-06
2018-07-13 02:00:00,False,,1.4606518,5.6861216e-05,5.674201e-05,0.009143274
2018-07-13 03:00:00,False,,1.4133519,5.674201e-05,5.6503606e-05,6.962243e-05
2018-07-13 04:00:00,False,,1.4613731,5.674201e-05,5.674201e-05,0.0010805385
2018-07-13 05:00:00,False,,1.4500674,5.6861216e-05,5.674201e-05,0.00762975
2018-07-13 06:00:00,False,,1.3901993,5.6861216e-05,5.662281e-05,0.078642584
2018-07-13 07:00:00,False,,1.5662619,5.6980418e-05,5.6980418e-05,0.00040573213
2018-07-13 08:00:00,False,,1.7221869,5.662281e-05,5.7576428e-05,7.0006674e-05
2018-07-13 09:00:00,False,,1.7478234,5.6980418e-05,5.709962e-05,0.0007500511
2018-07-13 10:00:00,False,,1.7669978,5.6861216e-05,5.7576428e-05,0.0036866248
2018-07-13 11:00:00,False,,1.8615237,5.6861216e-05,5.7457226e-05,0.0003527693
2018-07-13 12:00:00,False,,2.009632,5.674201e-05,5.805324e-05,0.05516156
2018-07-13 13:00:00,False,,1.872971,5.6503606e-05,5.805324e-05,0.006813789
2018-07-13 14:00:00,False,,1.9689068,5.709962e-05,5.805324e-05,0.0022480772
2018-07-13 15:00:00,False,,1.9841987,5.674201e-05,5.817244e-05,0.006839825
2018-07-13 16:00:00,False,,1.9915627,5.662281e-05,5.8291644e-05,0.009787293
2018-07-13 17:00:00,False,,1.958885,5.6861216e-05,5.817244e-05,0.0035239984
2018-07-13 18:00:00,False,,1.9672129,5.674201e-05,5.8291644e-05,0.0214139
2018-07-13 19:00:00,False,,1.9455122,5.709962e-05,5.8291644e-05,0.00016035816
2018-07-13 20:00:00,False,,1.8279077,5.7576428e-05,5.8291644e-05,0.003376166
2018-07-13 21:00:00,False,,1.8453225,5.674201e-05,5.7814836e-05,0.052516304
2018-07-13 22:00:00,False,,2.0172074,5.6503606e-05,5.8530048e-05,0.005464275
2018-07-13 23:00:00,True,,2.0391855,5.674201e-05,5.876845e-05,7.252988e-05
2018-07-14 00:00:00,False,,1.8961191,5.6861216e-05,5.8410846e-05,0.010298652
2018-07-14 01:00:00,False,,1.9133539,5.662281e-05,5.817244e-05,0.012713195
2018-07-14 02:00:00,False,,2.0344746,5.6861216e-05,5.864925e-05,0.02945307
2018-07-14 03:00:00,False,,2.067725,5.6861216e-05,5.876845e-05,0.017483717
2018-07-14 04:00:00,False,,1.8670049,5.709962e-05,5.7934038e-05,0.036035284
2018-07-14 05:00:00,False,,1.7004795,5.674201e-05,5.7457226e-05,0.01766371
2018-07-14 06:00:00,False,,1.6873219,5.674201e-05,5.7218822e-05,0.020755388
2018-07-14 07:00:00,False,,1.5373828,5.6861216e-05,5.709962e-05,0.0007117703
2018-07-14 08:00:00,False,,1.6286465,5.674201e-05,5.7218822e-05,0.008512013
2018-07-14 09:00:00,False,,1.6521742,5.6861216e-05,5.6980418e-05,0.015485145
2018-07-14 10:00:00,False,,1.606678,5.6980418e-05,5.6980418e-05,0.025248129
2018-07-14 11:00:00,False,,1.5591267,5.662281e-05,5.6980418e-05,0.024883112
2018-07-14 12:00:00,False,,1.6324157,5.662281e-05,5.6980418e-05,0.009225962
2018-07-14 13:00:00,False,,1.6191031,5.674201e-05,5.7218822e-05,0.00024890614
2018-07-14 14:00:00,False,,1.7132213,5.674201e-05,5.7457226e-05,0.00045472648
2018-07-14 15:00:00,False,,1.683124,5.6861216e-05,5.7457226e-05,4.956194e-05
2018-07-14 16:00:00,False,,1.7972909,5.6861216e-05,5.769563e-05,0.012307342
2018-07-14 17:00:00,False,,1.7951086,5.662281e-05,5.7934038e-05,0.01571903
2018-07-14 18:00:00,False,,1.7091076,5.6861216e-05,5.7934038e-05,0.0002069383
2018-07-14 19:00:00,False,,1.7044001,5.6980418e-05,5.7457226e-05,0.006519379
2018-07-14 20:00:00,False,,1.8002936,5.6503606e-05,5.7338024e-05,0.0047228397
2018-07-14 21:00:00,False,,1.9565066,5.674201e-05,5.7457226e-05,0.01294937
2018-07-14 22:00:00,False,,1.8906775,5.6861216e-05,5.7576428e-05,0.001462084
2018-07-14 23:00:00,False,,1.9876544,5.6980418e-05,5.7576428e-05,0.022203267
2018-07-15 00:00:00,False,,1.954368,5.6861216e-05,5.7576428e-05,0.0034461396
2018-07-15 01:00:00,False,,1.9324042,5.6861216e-05,5.7457226e-05,0.0071354685
2018-07-15 02:00:00,False,,2.0513,5.6861216e-05,5.7576428e-05,0.003971322
2018-07-15 03:00:00,False,,2.1600606,5.674201e-05,5.7576428e-05,0.0008054242
2018-07-15 04:00:00,False,,2.1950061,5.6861216e-05,5.7457226e-05,0.011743939
